diet,education,ethnicity,religion,speaks
anything,graduated from high school,"asian, white",agnosticism,english
anything,graduated from college/university,white,atheism,"english (fluently), chinese (okay)"
anything,graduated from college/university,white,christianity,"english, spanish (okay)"
anything,graduated from college/university,white,christianity,english
anything,graduated from high school,white,atheism,english (fluently)
anything,graduated from college/university,white,christianity,"english (fluently), sign language (poorly)"
anything,graduated from high school,white,christianity,english
anything,graduated from high school,"hispanic / latin, white",catholicism,english
anything,graduated from college/university,white,atheism,"english (fluently), spanish (okay)"
anything,graduated from masters program,white,catholicism,english (fluently)
anything,graduated from college/university,white,catholicism,english (fluently)
anything,graduated from college/university,white,agnosticism,"english, spanish (poorly)"
vegan,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,other,english
anything,graduated from high school,"pacific islander, white",catholicism,"english (fluently), tagalog (fluently), japanese (okay)"
anything,graduated from college/university,asian,agnosticism,"english (fluently), other (fluently), thai (poorly)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,buddhism,"english (fluently), spanish (fluently)"
anything,graduated from masters program,white,other,"english, spanish (poorly), portuguese (poorly)"
anything,graduated from college/university,white,other,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,"english, japanese (poorly)"
anything,graduated from college/university,white,atheism,english
anything,graduated from high school,"asian, pacific islander",catholicism,"english, tagalog (poorly), c++ (okay)"
vegetarian,graduated from college/university,white,other,"english, spanish (okay)"
anything,graduated from college/university,"middle eastern, other",other,english (fluently)
anything,graduated from masters program,white,agnosticism,english
anything,graduated from high school,white,catholicism,english
anything,graduated from masters program,white,atheism,"english, german (fluently), spanish (okay)"
anything,graduated from masters program,white,agnosticism,"english, other (poorly)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,catholicism,"english (fluently), french (okay)"
anything,graduated from masters program,white,atheism,english (fluently)
other,graduated from college/university,white,atheism,english (fluently)
anything,graduated from masters program,white,judaism,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)"
anything,graduated from masters program,asian,agnosticism,english (fluently)
anything,graduated from high school,"black, native american, hispanic / latin",other,english (fluently)
anything,graduated from ph.d program,white,agnosticism,"english (fluently), c++ (okay), french (poorly)"
anything,graduated from college/university,asian,agnosticism,english
