age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets 1,pets 2,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
32,single,m,straight,used up,anything,desperately,never,graduated from ph.d program,,72.0,-1,retired,2012-06-03-13-37,"san francisco, california",,,,agnosticism - casual,aquarius and it matters a lot,no,"english (fluently), c++ (fluently), chinese (okay), french (poorly), yiddish (poorly)","i'm half science nerd, half artsy-fartsy, and half amazing. and that's all you really need to know.  however, if you'd like to know a little more, and can read between the lines, please feel free to do so (this rule applies for all subsequent sections where applicable). __________________________________________________  i can't do fractions, yet, eons ago, i went to space camp. however, i spent most of my misspent youth as a musician/composer. on occasion, i still indulge this passion of mine, but more as a hobby.  former point guard and former competitive swimmer. basketball was and still is fun. but for the life of me, i don't know what compelled me to train two-a-days between the black lines. thinking about it now makes me want to vomit.  nowadays, i only swim for fun. and mainly in lakes and ponds. preferably on a hot, humid, starry night in new england.  although i am no longer in new england (just moved to sf) i do find plenty of other ways to enjoy the outdoors and/or stay fit. these outlets include basketball, football, tennis, golf, biking, skiing, snowboarding, hiking, muay thai, and aikido.  i just got rid of my car* and i now bike everywhere. it is strangely liberating! i've traveled a few continents (not always by bike) and hope to traverse a few more in depth.  i am a happy and highly productive slacker. in jocular earnestness, (here comes the hackneyed cliche...wait for it...wait for it...) i work hard and play harder! blah blah blah.  *note: unfortunately and fortunately, i still get around quite a bit by zipcars and planes. and of course, public transit. sometimes trains, boats, horses, and gasp! my own barefeet. __________________________________________________","making a positive distortion on the world.  1. living the good life with family and friends. 2. going glocal. 3. balancing the fine line between being a plant and a lion.  i did not enjoy working for the man. solution? mad scientist by day, and entrepreneur by night.","ask my mother*. she'll brag your ear off. don't say i didn't warn you.  *if you possess delayed gratification or add, again, you can skip the next section between the lines and find out in person. __________________________________________________ ok. i suppose i could lead out with a little more. i'm self-reliant and i like to get to the nuts and bolts of things. as a side consequence, i like to fix bikes, cars, and computers. people? not nearly as easy. but friends do seem to come to me for an ear, advice, or just a helping hand.  a friend asked me to be their wedding officiant, but i'm quite certain i was no good at that. there was this one line (which i practiced 100 times), that always got me. ""by the powers vested in me by the state of florida..."" tell me that wouldn't make you burst laughing out loud...luckily, upon replay, there was only a hint of smirk on my face.  what else.  i've been building things since i was little. remote control cars, boats, planes, bird traps, bird cages, cat trees, dog houses, fish ponds, treehouses, bed frames and stuff like that. currently, i build slightly fancier toys to probe and ask questions about the very essence of our being. and in the process, help save lives. well, that's the hope at least.  also...  my grandmama was totally old-school. at the age of 80, as she got more frail and sick, she would go out into the back yard and chop wood in order to get rid of a fever. seriously. i'd like to think i've inherited a bit of whatever you call that .  but truth be told, i am really good at being okay with just being okay. __________________________________________________",tits and ass. up here lady.,"food: banh mi followed up by a blood orange makes for an exquisite afternoon summer snack.  movies:how about directors: q tarantino. coen brothers. wes anderson. john woo. hitchcock. wong kar wai. miyazaki. i enjoy lynch like i enjoy sea urchin: savory in small quantities...not so good in large quantities.  music: depending on my mood, i'm eclectic and appreciate most music. with exception to heavy metal and angry girl punk. surprisingly, country i don't mind.  here are a few... sam cooke, al green, marvin gaye & tammi terrell. michel legrand, nina simone, david brubeck. led zeppelin, the doors, the beatles... before this list gets hella long, i'll end with a few fun ones: lmfao, ratatat, steve aoki & calvin harris.  books: too many, but to name a few, neruda, gg marquez, fyodor dostoevsky, mm lewis, lahiri, and david foster-wallace. if you're a voracious reader, message me for more!",i'll boil it down to two since i can't count to three: passport and credit card. shove it maslow.,"where's my dinner? woman! put food in my bellah!!!  j/k, j/k! i'll cook if you clean. and vica versa. or we can do both together. or...neither. i.e. let's check out that restaurant we've been meaning to check out...yeah? __________________________________________________ menu chez 3halves*  appetizers: music, lit, shows, films entree: omakase of life experiences** desserts: people watching, sports, perez hilton sides: synthetic biology, microfinance, aquaponics farming drinks list: epistemology, philosophy, debauchery.  *menu subject to changes on a moment to moment basis with exchanges between inquiring minds. however, all ingredients are fresh, locally grown, organic, cage-free, and usually, in season. ** (current, past, future, shared, imagined)  n.b. despite the serious and formal appearance of the menu, desserts can be served before the entree. crayons provided. and yes, you may draw on the table. __________________________________________________","out and about. in and about. romping with you.  as for wednesdays, that's right, it's business time. [click on highlighted words to follow link]","1. despite having no known proclivities for serial killing, dexter got my eyeballs. 2. despite being a pacifist, i watched all 8 seasons of 24. that's right, jack bauer stole 8 days* of my life. 3. i lost a small piece of myself in the eponymous tv series known as lost. aka the train wreck i just had to watch.  * thankfully, i only binge on commercial-free, 'fast-forward unnecessary side-plots' versions so that instead of losing 8 entire days of my life, i saved 3 days of my life. i saved 3 whole days of my life! doesn't that sound better? except, then i proceeded to unwisely spend those 3 days on item #3. thankfully, i was able to save another 3 days on item #3 which i then proceeded to waste on item #4...  and so it goes.  --------------------------------------------------------------------------------  3 potential deal breakers: for everything i do have, i don't have the following**.  1. car: as i mentioned before, except in 10% of the cases where i'm too lazy to bike to work, this is not a problem in the bay area. 2. tv: it's dying. get with it. 3. fb: should i get with it? probably. but i'm doing just fine with my old-school network. you know, calling people on rotary phones (well, not really), writing hand-written letters (really), and you know, actually meeting and conversing in person (seriously).  **these are strictly my own choices. you are free to make your own choices and i will neither judge nor enforce my own choices upon you. -------------------------------------------------------------------------------","if you live simply, deeply and lightly. if you are continually learning, laughing, and loving. if you'd like to explore strange new worlds, engage those in need, and leave the world a little bit of a better place.  if you'd like to kayak in sausalito, bhike to mt. tam, and walk along the beach in the sunset. if you think it would be fun to cruise down columbus in a scooter, powder up in tahoe, or camp in big sur. if your mouth is watering for oysters at tomales bay, for some cocoa nibs out my friend's new artisan chocolate store in the mission, and while waiting in line at tartine's. if your ear is itching for yoshi's, fillmore, or davies hall.  but before we go there, let's take it one step at a time. message me if you'd like to start a conversation here that may lead to conversations that don't take place on here. call me old-fashioned, but i value conversing tete-a-tete over digitalized forms of communication.  so. if you made it this far, don't be shy. message me. my e-mails don't bite. __________________________________________________ *** end of profile --> beginning of survey *** __________________________________________________ i'm conducting a survey on how to improve the user/stalker experience of my profile. i'd like to add/modify a soundtrack to this profile and i'd like your input. all you need to do is message me your favorite option with a, b, c, d, or e in the headline.  a) push here for love and happiness [the option i'm currently leaning towards]  b) push here to try a little tenderness  c) ain't nothing like the real thing [cheesy, but appropriate lyrics for online dating]  d) no soundtrack needed.  e) find another sound track. here's one...  this last section is primarily for those not interested in reading what i have to say, live far away, and/or are on the fence (if you're interested in messaging me, i'll assume you'll already have done so).  and if you won't be visiting again, i'll be crying inside and sorry to see you go.  but before you go, push here for the greatest thing you'll ever learn _________________________________________________ truly the end. ________________________________________________"
44,available,m,bisexual,athletic,mostly anything,socially,sometimes,working on college/university,"native american, white, other",76.0,-1,other,2012-06-29-09-25,"san leandro, california",has kids,likes dogs,has cats,other,aquarius and it matters a lot,no,english (fluently),"i tend to be very focused some of the time when first meeting. i am very passionate about a great deal of things and will talk about them for days. trying to take time to make community of creative types but center on building connections. this is my second account on this site as i saw significant changes in my outlook on life. i relish in the fact that i can take opportunities to rediscover myself.  the main reason i have come to like this site is the possibilities or potential to connect with someone. unless you live in the bay area or are planning to i have little time to develop or devote to someone i have no chance of seeing face to face unless they give some compelling reason. that would include but not limit things that pertain to what is on my profile here. i will quiz you on what is contained here.  i believe in connection. it is more important than anything and have a passion about it. i am extremely serious about this. if you want to ask me about this be prepared for a long response.  i have boundaries and abide by them.  the next thing that is very important is that i ignore people who do not have a match percentage at all and try to use this site for ads to their other web pages. take some time to fill out a few of the questions and profile. thanks.  i am intense, positive, and artistic",i seem to have difficulty finding work that will not just give empty promises.  i am learning about reconnecting with myself and those who are of similar mind. of late i have considered what it means to be me in a greater sense. this is another reason i am on this and other sites. if you get a message or comment from me it is likely that i have found a connection point with you.  always looking for those who can understand what dreaming really is.  testing the limits of sane and safe behavior in the insane world we all have created.  watching my daughter drive everyone crazy.  finding the humor in just about everything about me.  enjoying the new connections in my life and living them to the fullest.  telling the people who are important to me that they are loved.  teaching my daughter how to recognize the limits that humans have to deal with on a regular basis.  coping with the moments as they come to me.  finishing the questions on this site and hoping that some good friends come out of it. i will also send a message to those that message me. being one with the universe. thinking on changes that are happening to my life. trying to see things as they really are not what they seem to be. listening for the little things that add up to the bigger ones. listening to the soul of things as i see it. trying to make connections with others.,...being in the right place. foot rubs. i also seem to have the ability hold people's attention without even trying sometimes. noticing people who notice things around them.getting the trust of complete strangers. touching the soul of others. pushing the limits of creativity.,my eyes or my hair.  i have very intense eyes that people say look right through things. the other thing is that sometimes i seem really tall. the intensity is what usually gets most people. my intensity is shown in just about all of me. i welcome your messages to tell me what you see.  i occasionally color my hair to help thin it and keep the white at bay for the moment. my hair is longer now and still very thick. i have a love of hair that borders on a fetish. the longer the better. apparently the color of my hair is a very interesting topic for the moment.,"books: i have a deep love of just about anything by isaac asimov. robert heinlein is also up there. i have been reading science fictionsince 7 years old. ray bradbury is really good too. neil gaiman is probably my favorite now. i think i am starting to like terry brooks as well. i have a lot of books about the stuff that i am interested in and am trying to find a way to compose my own. philip pullman is on the list too. i just realized that c. s. lewis is also big on my reading list. i have a large collection of supernatural beings in my collection. yes even some old d&d novels are in there. everyone has their fluff to read. friday by robert a. heinlein, aisling by louise cooper, lion's blood by steven barnes, harry potter, dracula by bram stoker(unabridged), beowulf, and more to name later. the black dagger brotherhood books by j. r. ward are interesting.  movies: beowulf adapted by gaiman. the lord of the rings:rotk the extended version filled my nights with pondering.  music: i have always liked what is now called ""classic rock"" though when it comes to playing or composing i tend to be more blues oriented. i have a thing for percussion of all types. largely depends on what my mood is at the time. i have over a thousand cd's in my collection. i have just about every kind of music. what is there not to like save for the stuff that puts people down. as long as it takes you someplace it is very welcome. of late though i am starting to drift back into a darker mood to the music i listen to for the moment. my youtube account has a good representation. music means a lot to me. angus young, henry rollins, danny elfman, jimi hendrix, colin hays, joan jett, robert johnson, tenacious d, concrete blonde, howard jones, metallica, kmfdm, lycia, estampie, rob zombie comprise the beginning of the list of music in my head. at least for today. i really like all kinds of music. i don't think music has ever left my life and for that i am very thankful. it has the capacity to change the coldest heart and calm the troubled mind. i felt it early on in my soul. i belive music is a language to itself. i would defend music and its right to be played at any cost.  shows: i am into british science fiction shows. firefly. dr. who. red dwarf. hex. supernatural. smallville. painkiller jane. have not watched much else but am enjoying a lot of series on netflix very much. i had a weak spot for forever knight and special unit 2 when they first aired.  food: the one thing that i cannot even stomach is the combination of broccoli and cheese together. just about anything else will work. my weakness is all things made from blueberries. i just cannot pass up anything with them in it. the biggest bummer is when they took the blueberry newtons off the market. i found a substitute but they are not the same. and to think that blueberries are good for you.",connections. love. music. serene moments. laughter. the universe.,"experience has shown me that there is no limit to the repercussion that can happen based on a single action. it takes but a moment to connect in a meaningful way.  it is as if by someone actually reading all of this rambling that they could glean something of my personality and find it within them to craft some witty response to what my mind was going through at this time. when all is said and done this sojourn that is life will be what it wanted to be. i am a man of many things.  it also seems very odd to me to consider writing a response to something that obviously by its phrasing at this writing wants a single response and not necessarily a discourse. yet for some reason rather than attempt to write a test for this site i continue to fill in characters to bring this character total to an acceptable place.  tell me what you make of this.i have seen where these interests have taken me. i want to see if a new leaf is in order. they began with acting, anime/cartoons/claymation, astral projection, ballet, bardic circles, bards, bass guitar, bdsm, belly dance, bisexuality, blues, bodywork, bonds, books, brewing, c. s. lewis, candles, cats, cello, celtic art, celts, chaos, chocolate, choreography, coffee, composing, connections, cooking, corsets, costuming, cuddling, dance, divination, douglas adams, dragons, dreaming, dresden files, druids, drumming, eastern medicine, ecology, empowerment, enigmas, enlightenment, esoterics, faeries, fantasy, flight, foreign films, forests, gaelic, game design, healing, heartbonding, herbalism, herbology, historical reinactment, honesty, honor, hugging, intentional families, isaac asimov, jazz, journal writing, karma, kisses, kissing, knitting, laughter, laurell k. hamilton, leather, liqueurs, long hair, love, lucid dreaming, mages, magic, magick, making music, martial arts, massage, mead, meditation, men in kilts, metaphysics, monty python, movies, mozart's requiem, music, musical theater, mysticism, mythology, nature, neil gaiman, oingo boingo, open relationships, oral sex, paganism, pagans, pantheism, parenting, percussion, phillip k dick, philosophy, photography, pianos, poetry, polyamory, princesses, reading, red hair, redheads, reincarnation, renaissance music, robert a. heinlein, role-playing games/rpgs/larps, runes, sacred sexuality, sci-fi, science fiction, scotch, self, self-improvement, sensuality, sex, sexuality, shakespeare, shel silverstein, sign language, snuggles, snuggling, spirituality, string theory, submission, sushi, tad williams, tarot, tea, teaching, trees, walt whitman, wicca, winnie the pooh, wizards, writing and yoga.","""the same thing we do every night. try to take over the world.""  showing off my art at the larp i play in.",as for addressing the issue of privacy i think it is best discussed face to face. there is too much chance for ambiguity in this two dimensional place.  i wear my heart on my sleeve. if you ask me i will find an answer.  in the end of things i think living one's life is best surmised by the connections that each person makes.,you feel like it.  you have actually read the entire profile and can answer at least one question about me that i pose to you. i happen to be on the same time you are.  the next thing that is very important is that i delete people who do not have a match percentage at all and try to use this site for ads to their other web pages. take some time to fill out a few of the questions and profile. thanks.  i am not opposed to im on here but mostly am on this site at work so content is an issue. i like to keep my income in the black. i check my stalker list freqently so if you see me on yours it means that somehow you either had fate intervene on your behalf by being on mine or the quickmatch gave us a good rating.  this seems to be the default place where most users on this take the opportunity to air out the frustration of the kinds of people they do not want to message them. i don't mind a message if you realize that if you live outside the area of california that there is not a very likely chance that i will respond. i am not saying no but you had better have some very compelling reason to take the time to actually write something.
23,single,m,straight,fit,strictly vegetarian,not at all,,,other,70.0,-1,other,2011-10-03-14-02,"oakland, california",,,,buddhism - casual,aquarius and it matters a lot,,"english, tibetan, japanese, afrikaans, cebuano",sha zam,"law, language, art, fukin yo shit up.",eating,nice ear ring,i love movies. al pacino is my fav. i love books and street photography,fucking stupidest question that was ever on my computer.,saving for a rainy day.,ice skating,good will hunting is my fav movie,"want to be friends and develop new hand-shakes to set the hood ablaze. girls who want to go shopping. im not gay, i just resepct good taste. we go our seprate directions and discuss said purchases, shoes are pretty clean...."
27,single,m,straight,athletic,mostly other,socially,sometimes,graduated from college/university,other,72.0,1000000,sales / marketing / biz dev,2012-06-24-17-25,"san francisco, california",,likes dogs,likes cats,other,aquarius and it matters a lot,sometimes,english,"i like chillin and being outside. drinking beer, camping and stuff like that. yeah",striving to do my best in life and relax and enjoy myself at the same time,"riding bikes, making grilled cheese sandwiches and making people laugh.",my ability to connect with random people,"books; the count of monte cristo  movies; horror and comedys of all kinds, superbad, harry potter (all), lord of the rings (all) -- as you can tell i am quite mature  music; hip hop (non-radio), rock raggae what ever all music is good -- i love chopin, beethoven, bach and other classical composers as well  food; mexican, pizza, grilled cheese and anything that is homemade",1: my boys 2: bike 3: sun glasses 4: music 5: party,!) how to improve tacos !) how to write this bullshit,smoking crystal meth,i like tacos y burritos,you want to talk about something that is interesting to you or to me ;)
28,single,m,straight,fit,anything,socially,,graduated from high school,"native american, white",70.0,70000,construction / craftsmanship,2012-06-29-13-18,"oakland, california",doesn't have kids,has dogs,dislikes cats,,aquarius and it matters a lot,sometimes,"english (okay), spanish (poorly)","ok i am really sarcastic, but i am also sincere.  i have ""coulda shoulda didn't"" tattooed in old e on my face.  no but seriously i am an albino chameleon...","trying to start a biz and move towards not being able to distinguish work from life/doing things i'd do anyways if money wasn't a factor, learning, adapting, scheming...",deadlines. dogs. people. building stuff. miss spelling simple werdz that drive most peeple nutz doo...,why would i spoil it for you??,"all the usual, but have been expanding my hip hop horizons as much as possible...",your mom.,"when i will be able to do fun things.  the perfect come back for ""you're a fag""  how to stack some benjies.  dog.  what does it all mean??",anywhere.,i have already revealed it.,you are cool.
26,single,m,straight,athletic,strictly anything,not at all,never,graduated from masters program,indian,70.0,-1,computer / hardware / software,2012-05-23-15-55,"san francisco, california",,,,hinduism - casual,aquarius and it matters a lot,no,"english (okay), tamil (fluently), hindi (fluently), malay (okay)",hello. my name is allen. i'm a creative developer and web analyzer. founder of creative web systems. www.creativewebsystems.com,creating new ideal for social media.,web development and web analyzer.,smile down to earth body structure creativity and new idea's friendly.,mahatma gandhi,,my upcoming project related to social media website,week end no one can stop me from dancing. i love dacing.,,
31,single,f,bisexual,full figured,strictly anything,socially,sometimes,graduated from masters program,"hispanic / latin, white",63.0,-1,other,2012-05-29-08-43,"oakland, california",,likes dogs,likes cats,,aquarius and it matters a lot,no,"english, spanish","rowdyqueerchicanabeardedfemmeorganizertypelady. constantly inspired and manifesting my politics and principles. i spend a lot of time thinking and acting on collectivity, liberation, and transformation. i like ritual and tradition, just not when it's forced on me. i look to the stars, the water, and the land for answers to my hardest questions - and always get the best answers. i really like to dance and make out. i leave lipstick traces and my perfume lingers.","fighting for self determination, in the most collective way possible.",seeing through the bullshit. i have excellent intuition.,my loud mouthed antics and my contagious laugh. or maybe it's the diamond encrusted dimple that glints when i smile.,"mostly reading history and biographies these days, trying to remember who i was. i'm teaching myself to cook, so i'm only eating mexican food and breakfast. i prefer my music to have bass and female vocals. and i prefer my movies with truth, subtitles, propaganda, gorgeous costumes, and/or winona ryder.",liquid eyeliner. nail polish. my slingshot (the daily planner one). skype. iced coffee. dreams.,"the truth. in its many complex and contradictory forms. i also think alot about plan b, c, and d. and abolishing the prison industrial complex.","i'm afraid it's just not appropriate for okcupid. but, you know, i have a good time.",haven't i revealed enough? surveillance culture is creepy...,"you're a radical homo who throws down on a dance floor and knows where the good dance floors are in the bay area. you're a fierce, colorful femme looking to start a girl gang. you're an urban-based farmer person who can teach me about food stuff. you're a kinky poly queer cutie who likes epic dates with femme ladies."
32,available,f,gay,,,socially,sometimes,dropped out of two-year college,white,69.0,20000,rather not say,2011-08-13-18-06,"san francisco, california",,dislikes dogs,likes cats,other,aquarius and it matters a lot,yes,english (fluently),"hello nice to meet everone, first off i am a t-girl living in san francisco,ca. been here for just about 3 years now and still love it there is always somthing to do. i lived most of my life in vancouver, washington. it is a nice lace to live if your not gay or trans. so one day i got in my car and never look behind me. i am also witch two been in the craft for about 3-4 years now. i know its been not very long but i love everthing about it from the people to the magick to everthing elas. will thats me merry meet and blessed be  i am shy, sweet, and funny",right now looking for friends and having fun.,"making people smile, writing poems and stories, i also am good at building computers.",that i'm a sweet girl with nice tits and a little shy.,i love just about all moves just as lone as i am with someone. i love classic rock alot but just about any music i like.,1 makeup 2 clothes will i could go with out clothes it more fun that way. 3 my mirror 4 my book of shadows 5 sex 6 love,live love and others stuff,"like to go to the bar and have a few drinks, see a movie, take a long walk by the water.",is that i fall in love to easy.,"you like to try new thing, open minded and want to live life to the max. don't mind just setting back and just talking the night away."
38,single,m,gay,athletic,,not at all,sometimes,,white,73.0,-1,computer / hardware / software,2012-06-18-11-05,"san francisco, california",,,,other,aquarius and it matters a lot,no,english,"""i know youth is not important, nor the flower that dreamt it. the body of my death barely knows the shy finger that etched it.  like those muses who drink from ponds of pure silence, i want to suckle, in the foreign hours of night, the nectar of beauty's awful conclusion."" august bleed  i was just a young man when i left everything i knew in michigan and hitchhiked from there with 37 cents, a pack of marlboro's in my pocket, no destination to which i was privy, and an intense desire to put all my trust in the universe to guide me to where- and what- ever it was my destiny was to become. i started once i got to the island of nantucket and didn't stop until i reached san francisco. (ironically i live on treasure island now.) once i got here i quickly discovered i neither had enough money or time to be cool. i spent a few years in a hedonistic hell and emerged with a handful of skills that showcased the knowledge the universe has provided me on my journey. i stole every bit of knowledge i have. nothing was given to me.","this is kinda broad...i write poetry and short fiction. i dabble in amateur digital photography. i'm an accomplished author and sometimes am lucky enough to do readings in the city. i freelance and am constantly working on stuff as a graphic artist. i love playstation 3. (ok so sue me). i read voraciously. (hiint: do not ask me if i like the beats) i have a kick ass computer that doubles as a room when it works. the only things not wired in my bedroom are my houseplants some of which are carnivorous, but not large enough to eat the neighbor's loud dog. i agree, it is extremely unfortunate. there are some bonsais here and there that i attempt to keep from dying. i love high definition and high resolution digital music files of great music. i hate mp3's or whatever lossless iteration they take. i am also a huge fan of multi-channel audio when done well--if you haven't heard the flaming lips in 5.1 you really should do yourself a favor and experience it. the alan parsons mix of dark side is also quite amazing. shoplifting knowledge.",writing. i have a pretty good intuition which also comes in handy. i am also handy with photoshop and indesign.,is my eyes.,"too many too eclectic...like dark stuff. i love certain french poetry mostly because the translation inspires newer places for my imagination to drift toward. my favorite poets are those from the so called silver era of russian poets who were mostly persecuted or killed under stalin like akhmatova, mandelstam, and others. i also admire villaurruttia for the one book he wrote which at 50 some odd pages was all he ever needed to write to secure his seat at the table of the greats. as you can tell i do not read much after 1950. musically it need only be of sufficient quality and depth. the genre is meaningless.","books, toothbrush, pot, computer, sex, music. (people may be added at a later date)",things i shouldnt spend a lot of time thinking about,baffled.,if it's private you'll have to do some really persuasive things to get that out of me. please do not let me hinder your progress.,"you value sincerity, frankness, and can make allowances for my initial shyness. you are masculine without being a cliche. don't mind a man with an interesting past...aren't scared of motorcycles. im not looking for some adonis...i'm a good looking dude, and have some nice parts...but i like a lot of kinds of men...geeky, punk, normal, buff, whatever...attraction is essential but it's mainly about what you are and are becoming. rich/poor unimportant. race unimportant. age unimportant. what is important is that you continue to improve upon yourself and your relationships with other people and that whatever you enjoy doing, you do it with your entire soul."
48,single,m,straight,athletic,mostly other,not at all,never,high school,black,65.0,20000,rather not say,2012-04-13-18-16,"san francisco, california",has a kid,likes dogs,,christianity and very serious about it,aquarius and it matters a lot,no,english,i am a good guy looking. for down. to earth. females. and wants. some good. conversation. and a good friend. and a person. you can trust. and want to share with,i am looking. for that right. job and the right friend and someone can understand me and won't. judge. me. and who is willing. to get to know me and learn. me and enjoy. life one day at a time and willing. to share there world. with. me,,,,,,i am out living. and treating myself. to what life has to offer,that i am afraid. of rejection. and that people. who look at me don't. see the real me,if you like what i have said. and what to chat and want to meet a down. to earth. man who wants what you want company. and conversation. and attention
